12am-2am,2am-4am,4am-6am,6am-8am,8am-10am,10am-12pm,12pm-2pm,2pm-4pm,4pm-6pm,6pm-8pm,8pm-10pm,10pm-12pm,dateFrom,dateTo
"203625.2","86583.7","661714.7","1075869","20448.6","27191","19073.3","124309.7","120414.9","290306.2","71124.3","941504.3","2024-02-26T00:00:00+07:00","2024-02-26T23:59:59+07:00"
"410874","290998.6","409536.7","639440.7","670700.7","42595.8","11277","97431","242936.5","72699.3","508129.8","1943171.6","2024-02-27T00:00:00+07:00","2024-02-27T23:59:59+07:00"
"1245848.4","118614","297983.7","177803.4","254829.1","182912","159718","55132","132159.7","35468.5","240992","668793.5","2024-02-28T00:00:00+07:00","2024-02-28T23:59:59+07:00"
"147136.1","106773.3","152582","1988763","268297.5","538210","25020.5","59034.7","82807","115938.5","193588","330759.1","2024-02-29T00:00:00+07:00","2024-02-29T23:59:59+07:00"
"209372.6","206285.8","248965.3","172769.4","129095.5","1291536.5","53747.3","178259","381604","395379.8","425970.2","60770.8","2024-03-01T00:00:00+07:00","2024-03-01T23:59:59+07:00"
"276438.8","512419.4","128651.3","293349.5","49478","0","0","942309.3","462157","51901.6","0","0","2024-03-02T00:00:00+07:00","2024-03-02T23:59:59+07:00"
"0","0","0","0","0","0","0","0","0","0","0","0","2024-03-03T00:00:00+07:00","2024-03-03T23:59:59+07:00"
