label,filters,value
"2/26/2024","existing","11"
"2/27/2024","existing","9"
"2/28/2024","existing","9"
"2/29/2024","existing","15"
"3/1/2024","existing","11"
"3/2/2024","existing","0"
"3/3/2024","existing","0"
"2/26/2024","new","45"
"2/27/2024","new","42"
"2/28/2024","new","49"
"2/29/2024","new","39"
"3/1/2024","new","40"
"3/2/2024","new","21"
"3/3/2024","new","0"
